ID,storySignifier,domain,outcomeXexpect,emotion,rating,model,study
49,G7D3BH,basketball,BH,Shame,2,Human,1
49,G7D3BH,basketball,BH,Regret,2,Human,1
49,G7D3BH,basketball,BH,Guilt,0,Human,1
49,G7D3BH,basketball,BH,Sadness,3,Human,1
49,G7D3BH,basketball,BH,Compassion,0,Human,1
49,G7D3BH,basketball,BH,Relief,0,Human,1
49,G7D3BH,basketball,BH,Admiration,0,Human,1
49,G7D3BH,basketball,BH,Love,0,Human,1
49,G7D3BH,basketball,BH,Contentment,0,Human,1
49,G7D3BH,basketball,BH,Pleasure,0,Human,1
49,G7D3BH,basketball,BH,Joy,0,Human,1
49,G7D3BH,basketball,BH,Pride,1,Human,1
49,G7D3BH,basketball,BH,Amusement,0,Human,1
49,G7D3BH,basketball,BH,Interest,3,Human,1
49,G7D1BL,pottery,BL,Anger,0,Human,1
49,G7D1BL,pottery,BL,Hate,0,Human,1
49,G7D1BL,pottery,BL,Contempt,0,Human,1
49,G7D1BL,pottery,BL,Disgust,0,Human,1
49,G7D1BL,pottery,BL,Fear,0,Human,1
49,G7D1BL,pottery,BL,Disappointment,5,Human,1
49,G7D1BL,pottery,BL,Shame,1,Human,1
49,G7D1BL,pottery,BL,Regret,3,Human,1
49,G7D1BL,pottery,BL,Guilt,2,Human,1
49,G7D1BL,pottery,BL,Sadness,2,Human,1
49,G7D1BL,pottery,BL,Compassion,0,Human,1
49,G7D1BL,pottery,BL,Relief,0,Human,1
49,G7D1BL,pottery,BL,Admiration,0,Human,1
49,G7D1BL,pottery,BL,Love,0,Human,1
49,G7D1BL,pottery,BL,Contentment,0,Human,1
49,G7D1BL,pottery,BL,Pleasure,0,Human,1
49,G7D1BL,pottery,BL,Joy,0,Human,1
49,G7D1BL,pottery,BL,Pride,0,Human,1
49,G7D1BL,pottery,BL,Amusement,0,Human,1
49,G7D1BL,pottery,BL,Interest,4,Human,1
49,G7D4GH,exam,GH,Anger,0,Human,1
49,G7D4GH,exam,GH,Hate,0,Human,1
49,G7D4GH,exam,GH,Contempt,0,Human,1
49,G7D4GH,exam,GH,Disgust,0,Human,1
49,G7D4GH,exam,GH,Fear,0,Human,1
49,G7D4GH,exam,GH,Disappointment,0,Human,1
49,G7D4GH,exam,GH,Shame,0,Human,1
49,G7D4GH,exam,GH,Regret,0,Human,1
49,G7D4GH,exam,GH,Guilt,0,Human,1
49,G7D4GH,exam,GH,Sadness,0,Human,1
49,G7D4GH,exam,GH,Compassion,0,Human,1
49,G7D4GH,exam,GH,Relief,5,Human,1
49,G7D4GH,exam,GH,Admiration,0,Human,1
49,G7D4GH,exam,GH,Love,0,Human,1
49,G7D4GH,exam,GH,Contentment,0,Human,1
49,G7D4GH,exam,GH,Pleasure,0,Human,1
49,G7D4GH,exam,GH,Joy,0,Human,1
49,G7D4GH,exam,GH,Pride,2,Human,1
49,G7D4GH,exam,GH,Amusement,0,Human,1
49,G7D4GH,exam,GH,Interest,5,Human,1
49,G7D5GL,project,GL,Anger,0,Human,1
49,G7D5GL,project,GL,Hate,0,Human,1
49,G7D5GL,project,GL,Contempt,0,Human,1
49,G7D5GL,project,GL,Disgust,0,Human,1
49,G7D5GL,project,GL,Fear,0,Human,1
49,G7D5GL,project,GL,Disappointment,0,Human,1
49,G7D5GL,project,GL,Shame,0,Human,1
49,G7D5GL,project,GL,Regret,0,Human,1
49,G7D5GL,project,GL,Guilt,0,Human,1
49,G7D5GL,project,GL,Sadness,0,Human,1
49,G7D5GL,project,GL,Compassion,0,Human,1
49,G7D5GL,project,GL,Relief,5,Human,1
49,G7D5GL,project,GL,Admiration,0,Human,1
49,G7D5GL,project,GL,Love,0,Human,1
49,G7D5GL,project,GL,Contentment,0,Human,1
49,G7D5GL,project,GL,Pleasure,0,Human,1
49,G7D5GL,project,GL,Joy,0,Human,1
49,G7D5GL,project,GL,Pride,1,Human,1
49,G7D5GL,project,GL,Amusement,0,Human,1
49,G7D5GL,project,GL,Interest,5,Human,1
49,G7D2BH,social_old,BH,Anger,0,Human,1
49,G7D2BH,social_old,BH,Hate,0,Human,1
49,G7D2BH,social_old,BH,Contempt,0,Human,1
49,G7D2BH,social_old,BH,Disgust,0,Human,1
49,G7D2BH,social_old,BH,Fear,0,Human,1
49,G7D2BH,social_old,BH,Disappointment,0,Human,1
49,G7D2BH,social_old,BH,Shame,0,Human,1
49,G7D2BH,social_old,BH,Regret,0,Human,1
49,G7D2BH,social_old,BH,Guilt,0,Human,1
49,G7D2BH,social_old,BH,Sadness,0,Human,1
49,G7D2BH,social_old,BH,Compassion,1,Human,1
49,G7D2BH,social_old,BH,Relief,3,Human,1
49,G7D2BH,social_old,BH,Admiration,2,Human,1
49,G7D2BH,social_old,BH,Love,2,Human,1
49,G7D2BH,social_old,BH,Contentment,3,Human,1
49,G7D2BH,social_old,BH,Pleasure,3,Human,1
49,G7D2BH,social_old,BH,Joy,0,Human,1
49,G7D2BH,social_old,BH,Pride,0,Human,1
49,G7D2BH,social_old,BH,Amusement,0,Human,1
49,G7D2BH,social_old,BH,Interest,4,Human,1
49,G7D3BL,basketball,BL,Anger,0,Human,1
49,G7D3BL,basketball,BL,Hate,0,Human,1
49,G7D3BL,basketball,BL,Contempt,0,Human,1
49,G7D3BL,basketball,BL,Disgust,0,Human,1
49,G7D3BL,basketball,BL,Fear,0,Human,1
49,G7D3BL,basketball,BL,Disappointment,5,Human,1
49,G7D3BL,basketball,BL,Shame,0,Human,1
49,G7D3BL,basketball,BL,Regret,0,Human,1
49,G7D3BL,basketball,BL,Guilt,1,Human,1
49,G7D3BL,basketball,BL,Sadness,3,Human,1
49,G7D3BL,basketball,BL,Compassion,0,Human,1
49,G7D3BL,basketball,BL,Relief,0,Human,1
49,G7D3BL,basketball,BL,Admiration,0,Human,1
49,G7D3BL,basketball,BL,Love,0,Human,1
49,G7D3BL,basketball,BL,Contentment,0,Human,1
49,G7D3BL,basketball,BL,Pleasure,0,Human,1
49,G7D3BL,basketball,BL,Joy,0,Human,1
49,G7D3BL,basketball,BL,Pride,1,Human,1
49,G7D3BL,basketball,BL,Amusement,0,Human,1
49,G7D3BL,basketball,BL,Interest,3,Human,1
49,G7D1GH,pottery,GH,Anger,0,Human,1
49,G7D1GH,pottery,GH,Hate,0,Human,1
49,G7D1GH,pottery,GH,Contempt,0,Human,1
49,G7D1GH,pottery,GH,Disgust,0,Human,1
49,G7D1GH,pottery,GH,Fear,0,Human,1
49,G7D1GH,pottery,GH,Disappointment,0,Human,1
49,G7D1GH,pottery,GH,Shame,0,Human,1
49,G7D1GH,pottery,GH,Regret,0,Human,1
49,G7D1GH,pottery,GH,Guilt,0,Human,1
49,G7D1GH,pottery,GH,Sadness,0,Human,1
49,G7D1GH,pottery,GH,Compassion,0,Human,1
49,G7D1GH,pottery,GH,Relief,4,Human,1
49,G7D1GH,pottery,GH,Admiration,0,Human,1
49,G7D1GH,pottery,GH,Love,0,Human,1
49,G7D1GH,pottery,GH,Contentment,5,Human,1
49,G7D1GH,pottery,GH,Pleasure,4,Human,1
49,G7D1GH,pottery,GH,Joy,4,Human,1
49,G7D1GH,pottery,GH,Pride,5,Human,1
49,G7D1GH,pottery,GH,Amusement,1,Human,1
49,G7D1GH,pottery,GH,Interest,4,Human,1
49,G7D4GL,exam,GL,Anger,0,Human,1
49,G7D4GL,exam,GL,Hate,0,Human,1
49,G7D4GL,exam,GL,Contempt,0,Human,1
49,G7D4GL,exam,GL,Disgust,0,Human,1
49,G7D4GL,exam,GL,Fear,1,Human,1
49,G7D4GL,exam,GL,Disappointment,0,Human,1
49,G7D4GL,exam,GL,Shame,0,Human,1
49,G7D4GL,exam,GL,Regret,0,Human,1
49,G7D4GL,exam,GL,Guilt,0,Human,1
49,G7D4GL,exam,GL,Sadness,0,Human,1
49,G7D4GL,exam,GL,Compassion,0,Human,1
49,G7D4GL,exam,GL,Relief,6,Human,1
49,G7D4GL,exam,GL,Admiration,0,Human,1
49,G7D4GL,exam,GL,Love,0,Human,1
49,G7D4GL,exam,GL,Contentment,0,Human,1
49,G7D4GL,exam,GL,Pleasure,0,Human,1
49,G7D4GL,exam,GL,Joy,0,Human,1
49,G7D4GL,exam,GL,Pride,1,Human,1
49,G7D4GL,exam,GL,Amusement,0,Human,1
49,G7D4GL,exam,GL,Interest,5,Human,1
49,G7D5BH,project,BH,Anger,1,Human,1
49,G7D5BH,project,BH,Hate,0,Human,1
49,G7D5BH,project,BH,Contempt,0,Human,1
49,G7D5BH,project,BH,Disgust,0,Human,1
49,G7D5BH,project,BH,Fear,1,Human,1
49,G7D5BH,project,BH,Disappointment,5,Human,1
49,G7D5BH,project,BH,Shame,1,Human,1
49,G7D5BH,project,BH,Regret,3,Human,1
49,G7D5BH,project,BH,Guilt,2,Human,1
49,G7D5BH,project,BH,Sadness,1,Human,1
49,G7D5BH,project,BH,Compassion,0,Human,1
49,G7D5BH,project,BH,Relief,0,Human,1
49,G7D5BH,project,BH,Admiration,0,Human,1
49,G7D5BH,project,BH,Love,0,Human,1
49,G7D5BH,project,BH,Contentment,0,Human,1
49,G7D5BH,project,BH,Pleasure,0,Human,1
49,G7D5BH,project,BH,Joy,0,Human,1
49,G7D5BH,project,BH,Pride,0,Human,1
49,G7D5BH,project,BH,Amusement,0,Human,1
49,G7D5BH,project,BH,Interest,4,Human,1
50,G3D2BL,social_old,BL,Anger,0,Human,1
50,G3D2BL,social_old,BL,Hate,0,Human,1
50,G3D2BL,social_old,BL,Contempt,1,Human,1
50,G3D2BL,social_old,BL,Disgust,1,Human,1
50,G3D2BL,social_old,BL,Fear,0,Human,1
50,G3D2BL,social_old,BL,Disappointment,3,Human,1
50,G3D2BL,social_old,BL,Shame,0,Human,1
50,G3D2BL,social_old,BL,Regret,1,Human,1
50,G3D2BL,social_old,BL,Guilt,0,Human,1
50,G3D2BL,social_old,BL,Sadness,1,Human,1
50,G3D2BL,social_old,BL,Compassion,0,Human,1
50,G3D2BL,social_old,BL,Relief,0,Human,1
50,G3D2BL,social_old,BL,Admiration,0,Human,1
